       0:   10 00 00 07         beq   $zero,   $zero,   0x80000020
      20:   34 08 00 01         ori   $t0,   $zero,   0x0001
      24:   34 09 00 01         ori   $t1,   $zero,   0x0001
      28:   3c 04 80 40         lui   $a0,   0x8040
      2c:   24 8c 01 00         addiu   $t4,   $a0,   0x0100(256)
      30:   01 09 50 21         addu   $t2,   $t0,   $t1
      34:   35 28 00 00         ori   $t0,   $t1,   0x0000
      38:   35 49 00 00         ori   $t1,   $t2,   0x0000
      3c:   ac 89 00 00         sw   $t1,   0x0000($a0)
      40:   8c 8b 00 00         lw   $t3,   0x0000($a0)
      44:   15 2b 03 1b         bne   $t1,   $t3,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
     cb4:   10 00 ff ff         beq   $zero,   $zero,   0x80000cb4
